 date      axp       cat      sbux
19990104 -0.009756 0.029891 -0.040089
19990105 -0.019089 -0.002639 -0.034803
19990106 0.043063 0.026455 -0.008413
19990107 0.012063 0.009021 0.003636
19990108 0.030393 0.042146 0.021739
19990111 -0.016773 0.039216 0.002364
19990112 -0.036471 -0.044811 0.003538
19990113 -0.03602 -0.050617 -0.008813
19990114 -0.027232 -0.027308 0.000593
19990115 0.08724 0.023797 -0.004739
19990119 -0.037126 -0.034166 0.028571
19990120 0.014925 -0.016327 0.012731
19990121 0.004902 -0.006916 -0.035429
19990122 -0.039024 -0.020891 -0.050948
19990125 0.030457 0.014225 0
19990126 0.002463 0.012623 0.01623
19990127 -0.022727 -0.009695 -0.039312
19990128 0.010057 -0.004196 0.001279
19990129 0.024269 -0.026685 0.063857
19990201 -0.020656 0.008658 -0.015606
19990202 -0.010546 -0.008584 -0.020732
19990203 0.00815 -0.004329 0.034869
19990204 -0.002488 0.023188 -0.019254
19990205 -0.021197 0.048159 -0.020859
19990208 -0.010828 0.021622 0.003759
19990209 -0.01159 -0.015873 -0.024969
19990210 0.008469 -0.012097 -0.016645
19990211 0.043928 -0.008163 0.036458
19990212 -0.01052 -0.016461 -0.034548
19990216 0.022514 0.009763 -0.000651
19990217 0.004893 0.01105 -0.029948
19990218 -0.000609 -0.020492 0.008054
19990219 0.005481 0.005579 0.030626
19990222 0.051484 0.0319 0.031008
19990223 0.028802 0.009409 0.050125
19990224 -0.035274 -0.019973 -0.00716
19990225 0.001741 -0.006793 -0.013221
19990226 0.005794 -0.002736 0.030451
19990301 0.02765 0.079561 0.018913
19990302 -0.016256 -0.035578 0.016241
19990303 -0.017094 -0.003953 -0.002283
19990304 0.048116 0.01455 0.035469
19990305 0.049779 0.040417 0.038674
19990308 -0.017387 -0.005013 0.03617
19990309 0.014477 -0.016373 -0.017454
19990310 -0.005285 0.003841 0.026123
19990311 0.049947 0.038265 -0.002037
19990312 0.022267 -0.121622 -0.019388
19990315 -0.00396 0.016783 0.010406
19990316 -0.017396 -0.031637 0.00103
19990317 -0.021244 0.073864 -0.002058
