date             gm           vw            ew            sp
19750131       0.252033      0.141600      0.299260      0.122812
19750228       0.028571      0.058411      0.053918      0.059886
19750331       0.054487      0.030191      0.081497      0.021694
19750430       0.045593      0.046497      0.031093      0.047265
19750530       0.037209      0.055140      0.072876      0.044101
19750630       0.107955      0.051473      0.071792      0.044323
19750731       0.053846     -0.060385     -0.008960     -0.067654
19750829      -0.029684     -0.023557     -0.048118     -0.021070
19750930       0.015228     -0.038010     -0.038867     -0.034645
19751031       0.107500      0.055857      0.014720      0.061643
19751128       0.037923      0.031223      0.016796      0.024708
19751231       0.013187     -0.010998     -0.000599     -0.011508
19760130       0.104121      0.126011      0.190037      0.118306
19760227       0.044794      0.007314      0.106291     -0.011402
19760331       0.064516      0.026799      0.018109      0.030689
19760430       0.012478     -0.010389     -0.003810     -0.010995
19760528      -0.017958     -0.009369     -0.019680     -0.014364
19760630      -0.001821      0.044487      0.026510      0.040926
19760730      -0.003650     -0.006158      0.002236     -0.008055
19760831       0.006960     -0.001434     -0.016673     -0.005124
19760930       0.081031      0.024484      0.016990      0.022641
19761029       0.006814     -0.020372     -0.022586     -0.022235
19761130       0.006768      0.005364      0.026686     -0.007775
19761231       0.099825      0.061591      0.102410      0.052498
19770131      -0.049363     -0.036337      0.036903     -0.050530
19770228      -0.040536     -0.015760      0.004400     -0.021660
19770331      -0.056537     -0.009246      0.010654     -0.014025
19770429       0.024345      0.004952      0.016931      0.000203
19770531       0.001463     -0.010785      0.002870     -0.023568
19770630       0.041276      0.051367      0.051503      0.045360
19770729      -0.018018     -0.012810      0.012362     -0.016222
19770831       0.006972     -0.013352     -0.001233     -0.021042
19770930       0.042435      0.001574      0.014968     -0.002480
19771031      -0.047788     -0.039280     -0.023190     -0.043406
19771130      -0.000000      0.045432      0.070872      0.026966
19771230      -0.017578      0.008218      0.021081      0.002847
19780131      -0.073559     -0.055202     -0.011152     -0.061514
19780228       0.019313     -0.009275      0.026008     -0.024762
19780331       0.053533      0.034013      0.067839      0.024931
19780428       0.065041      0.082841      0.079317      0.085416
19780531      -0.045802      0.023238      0.067620      0.004234
19780630      -0.026639     -0.010751      0.010292     -0.017585
19780731       0.050526      0.056749      0.052394      0.053910
19780831       0.014028      0.042352      0.093545      0.025924
19780929       0.014056     -0.006891      0.006200     -0.007261
19781031      -0.073267     -0.110997     -0.177280     -0.091574
19781130      -0.012821      0.033792      0.038205      0.016640
19781229      -0.027149      0.017710      0.014346      0.014889
19790131       0.048837      0.049489      0.093661      0.039746
19790228      -0.031042     -0.026766     -0.016269     -0.036526
19790330       0.060606      0.065618      0.084167      0.055152
19790430       0.026374      0.008522      0.028814      0.001673
19790531       0.017559     -0.013576     -0.006845     -0.026336
19790629       0.028139      0.046850      0.054663      0.038656
19790731      -0.025263      0.014991      0.021366      0.008746
19790831       0.054428      0.064728      0.075616      0.053078
19790928       0.043841      0.001428     -0.001172      0.000000
19791031      -0.116000     -0.072660     -0.097915     -0.068606
19791130      -0.056561      0.063603      0.065295      0.042624
19791231      -0.012346      0.028212      0.067485      0.016767
19800131       0.097500      0.065607      0.105129      0.057625
19800229      -0.056492      0.001015     -0.006301     -0.004380
19800331      -0.088889     -0.120224     -0.165043     -0.101795
19800430      -0.013550      0.052288      0.053461      0.041140
19800530      -0.003297      0.060090      0.071249      0.046571
19800630       0.039106      0.037714      0.046176      0.026969
19800731       0.126344      0.069438      0.089279      0.065039
19800829       0.032936      0.023553      0.063984      0.005835
19800930      -0.014019      0.029495      0.052459      0.025168
19801031      -0.068720      0.020079      0.047525      0.016021
19801128      -0.084478      0.104920      0.069205      0.102377
19801231       0.014085     -0.034407     -0.032416     -0.033874
19810130       0.022222     -0.040108      0.005615     -0.045742
19810227       0.102717      0.015523      0.002150      0.013277
19810331       0.054863      0.046184      0.072674      0.036033
19810430       0.021277     -0.011257      0.027885     -0.023456
19810529       0.041204      0.013553      0.027187     -0.001657
19810630      -0.047191     -0.010229     -0.013194     -0.010408
19810731      -0.030660     -0.003073     -0.019980     -0.002210
19810831      -0.085645     -0.056279     -0.071906     -0.062099
19810930      -0.037736     -0.063767     -0.090061     -0.053832
19811030      -0.182073      0.060177      0.069728      0.049148
19811130       0.030137      0.045850      0.021667      0.036590
19811231       0.040541     -0.028096     -0.019694     -0.030075
19820129      -0.012987     -0.026207     -0.017347     -0.017544
19820226      -0.010526     -0.051125     -0.047987     -0.060548
19820331       0.108108     -0.010094     -0.012064     -0.010167
19820430       0.018293      0.043267      0.052242      0.040014
19820528       0.041317     -0.028212     -0.022490     -0.039162
19820630       0.040816     -0.023912     -0.036699     -0.020290
19820730      -0.042017     -0.020526     -0.014776     -0.022991
19820831       0.145614      0.119013      0.063285      0.115977
19820930      -0.036176      0.016761      0.033164      0.007614
19821029       0.217158      0.118636      0.128447      0.110364
19821130       0.065639      0.051935      0.092037      0.036123
19821231       0.041754      0.014516      0.023447      0.015158
19830131       0.014028      0.041850      0.117062      0.033134
19830228      -0.018182      0.030218      0.047266      0.018995
19830331      -0.034553      0.034673      0.050515      0.033095
19830429       0.153684      0.074188      0.080687      0.074922
19830531      -0.033212      0.013224      0.091740     -0.012346
19830630       0.108571      0.037837      0.046341      0.035224
19830729       0.012027     -0.031567     -0.017556     -0.033014
19830831      -0.037691      0.003464     -0.032920      0.011319
19830930       0.048043      0.016059      0.000051      0.010158
19831031       0.052632     -0.028049     -0.059273     -0.015174
19831130      -0.048387      0.029556      0.031713      0.017426
19831230       0.022337     -0.010464     -0.019672     -0.008834
19840131      -0.025210     -0.013023      0.005424     -0.009216
19840229      -0.032759     -0.039073     -0.050767     -0.038859
19840330      -0.059675      0.013389      0.007449      0.013498
19840430       0.028846      0.002534     -0.020524      0.005466
19840531      -0.050467     -0.052342     -0.051570     -0.059356
19840629       0.050201      0.023385      0.011996      0.017469
19840731       0.057361     -0.020621     -0.050303     -0.016451
19840831       0.081374      0.112689      0.088817      0.106332
19840928       0.049320      0.000404     -0.000377     -0.003480
19841031       0.038898     -0.000074     -0.023756     -0.000060
19841130      -0.030774     -0.010685     -0.031506     -0.015112
19841231       0.050251      0.023656      0.002732      0.022374
19850131       0.060606      0.085718      0.121473      0.074085
19850228      -0.028571      0.016896      0.046017      0.008685
19850329      -0.081761     -0.001747     -0.003526     -0.002925
19850430      -0.073630     -0.002186     -0.009646     -0.004594
19850531       0.077634      0.055775      0.022235      0.054051
19850628       0.005236      0.017091      0.002100      0.012134
19850731      -0.017361     -0.000251      0.021411     -0.004848
19850830      -0.030035     -0.004795     -0.002204     -0.011995
19850930      -0.005566     -0.039825     -0.056852     -0.034724
19851031      -0.003731      0.044441      0.017645      0.042509
19851129       0.069288      0.069228      0.052572      0.065062
19851231       0.030838      0.043061      0.028004      0.045061
19860131       0.051510      0.009829      0.044056      0.002367
19860228       0.067568      0.072500      0.060388      0.071489
19860331       0.109325      0.053885      0.047201      0.052794
19860430      -0.072464     -0.007900      0.016154     -0.014148
19860530       0.012500      0.050844      0.036194      0.050229
19860630      -0.026646      0.014246      0.008087      0.014110
19860731      -0.122383     -0.059700     -0.073128     -0.058683
19860829       0.075229      0.066181      0.023269      0.071193
19860930      -0.059028     -0.079021     -0.059071     -0.085439
19861031       0.049815      0.049303      0.023777      0.054729
19861128       0.042179      0.015093     -0.006263      0.021477
19861231      -0.094340     -0.026388     -0.034609     -0.028288
19870130       0.140152      0.128496      0.117565      0.131767
19870227       0.008306      0.047918      0.074612      0.036924
19870331       0.046901      0.023664      0.036313      0.026390
19870430       0.152000     -0.017001     -0.017673     -0.011450
19870529      -0.038889      0.005125      0.000573      0.006034
19870630      -0.030792      0.043662      0.021475      0.047915
19870731       0.075643      0.044248      0.035128      0.048224
19870831       0.049226      0.037146      0.014528      0.034959
19870930      -0.097826     -0.020774     -0.015876     -0.024166
19871030      -0.295181     -0.225363     -0.272248     -0.217630
19871130      -0.014957     -0.072273     -0.050850     -0.085349
19871231       0.088692      0.070327      0.026065      0.072861
19880129       0.071283      0.044880      0.077392      0.040432
19880229       0.117871      0.051695      0.060265      0.041817
19880331      -0.012111     -0.016598      0.035690     -0.033343
19880429       0.050788      0.010991      0.014016      0.009425
19880531       0.018333      0.000448     -0.017671      0.003176
19880630       0.066556      0.051460      0.047677      0.043256
19880729       0.000000     -0.007272      0.000289     -0.005411
19880831      -0.074883     -0.028006     -0.025001     -0.038600
19880930       0.029160      0.037202      0.016951      0.039729
19881031       0.111667      0.017637     -0.011485      0.025964
19881130       0.025487     -0.016412     -0.036484     -0.018891
19881230      -0.008902      0.021075      0.018872      0.014688
19890131       0.094311      0.066103      0.062124      0.071115
19890228      -0.049248     -0.016446      0.002988     -0.028944
19890331      -0.027818      0.021465      0.018060      0.020806
19890428       0.000000      0.048204      0.029089      0.050090
19890531      -0.009036      0.039338      0.025054      0.035138
19890630       0.034056     -0.004866     -0.007744     -0.007925
19890731       0.074850      0.077131      0.031017      0.088370
19890831       0.108635      0.022127      0.018626      0.015517
19890929      -0.048469     -0.001474      0.005532     -0.006544
19891031      -0.048257     -0.029281     -0.049934     -0.025175
