Date	rtn	vwretd	ewretd	sprtrn
19700102	0.000686	0.012137	0.033450	0.010211
19700105	0.009596	0.006375	0.018947	0.004946
19700106	0.000679	-0.007233	-0.005776	-0.006848
19700107	0.000678	-0.001272	0.003559	-0.002047
19700108	0.002034	0.000564	0.002890	0.000540
19700109	-0.001353	-0.002797	-0.002923	-0.003021
19700112	-0.003388	-0.007766	-0.009646	-0.007576
19700113	0.017335	0.000737	-0.001090	0.000981
19700114	-0.001002	-0.002005	-0.005280	-0.001525
19700115	0.020736	0.000586	-0.002182	0.000327
19700116	-0.030799	-0.007462	-0.006902	-0.008290
19700119	-0.053414	-0.013079	-0.009019	-0.013968
19700120	0.018571	0.001938	0.002439	0.002008
19700121	-0.004208	0.001017	0.002280	0.000891
19700122	0.002817	0.001430	0.001346	0.000445
19700123	0.000000	-0.010282	-0.011356	-0.009783
19700126	-0.021067	-0.011105	-0.014005	-0.010104
19700127	-0.009326	-0.006204	-0.005235	-0.006238
19700128	-0.012310	-0.009347	-0.007265	-0.009473
19700129	-0.007331	-0.012877	-0.013797	-0.012674
19700130	-0.009601	-0.008310	-0.007640	-0.007819
19700202	0.023117	0.008193	0.006498	0.008586
19700203	0.000729	0.012877	0.012573	0.011895
19700204	-0.013838	-0.007084	-0.009095	-0.006108
19700205	0.004284	-0.003650	-0.006584	-0.003942
19700206	0.017712	0.006175	0.005922	0.005006
19700209	0.014503	0.008327	0.005477	0.007877
19700210	-0.010722	-0.009082	-0.007938	-0.010459
19700211	0.026012	0.009372	0.005778	0.009756
19700212	-0.008451	-0.001901	0.000137	-0.002415
19700213	-0.008523	-0.001460	-0.001137	-0.002191
19700216	0.000716	-0.000426	0.000294	-0.000809
19700217	0.001432	-0.001850	-0.003199	-0.001156
19700218	0.004289	0.012109	0.009625	0.012389
19700219	0.002135	0.003125	0.002346	0.003660
19700220	-0.007102	0.003433	0.001513	0.003077
19700224	-0.014306	0.000125	0.000196	-0.000454
19700225	0.001451	0.015230	0.013499	0.015456
19700226	-0.002174	-0.004799	-0.003100	-0.005036
19700227	-0.011619	0.007382	0.008801	0.006749
19700302	-0.013960	0.001419	0.002714	0.002346
19700303	-0.006706	0.005898	0.002623	0.005796
19700304	-0.010503	-0.002036	-0.000958	-0.002106
19700305	-0.001516	0.000019	0.002165	-0.000444
19700306	-0.012149	-0.006687	-0.004751	-0.006222
19700309	-0.026134	-0.010391	-0.009634	-0.010398
19700310	0.030781	0.001629	-0.001380	0.002712
19700311	0.006126	-0.000948	-0.000696	-0.000676
19700312	0.000761	-0.004613	-0.006208	-0.004059
19700313	-0.013688	-0.006061	-0.007301	-0.005321
19700316	-0.013107	-0.011047	-0.012801	-0.010813
19700317	0.007813	0.003957	0.000727	0.004372
19700318	-0.000775	0.002744	0.002006	0.002864
19700319	0.000388	-0.002558	-0.004949	-0.001371
19700320	-0.008143	-0.004938	-0.008806	-0.004118
19700323	0.007037	-0.001172	-0.003989	-0.000804
19700324	0.018634	0.010165	0.005381	0.011381
19700325	0.015244	0.021530	0.024809	0.020346
19700326	0.000751	0.001617	0.003012	0.001671
19700330	0.010503	-0.002582	-0.002191	-0.003225
19700331	0.005197	-0.000239	-0.001356	0.000000
19700401	-0.002216	0.004733	0.002991	0.004909
19700402	-0.017024	-0.003671	-0.002502	-0.003109
19700403	-0.016566	-0.004513	-0.003880	-0.004455
19700406	-0.018377	-0.007911	-0.008729	-0.007048
19700407	-0.001560	-0.003404	-0.004863	-0.002704
19700408	0.012500	-0.001822	-0.004686	-0.000339
19700409	0.005401	-0.000869	-0.004892	0.000452
19700410	0.017652	-0.004459	-0.008240	-0.003276
19700413	-0.013575	-0.008718	-0.014290	-0.006800
19700414	-0.006881	-0.008662	-0.014364	-0.008558
19700415	-0.004619	-0.002815	-0.004575	-0.001841
19700416	-0.007734	-0.010950	-0.014342	-0.009801
19700417	0.005456	-0.003290	-0.005836	-0.002445
19700420	0.006202	0.002344	0.000168	0.001868
19700421	-0.010786	-0.005541	-0.007202	-0.005243
19700422	-0.024922	-0.014712	-0.019751	-0.013001
19700423	-0.010783	-0.016257	-0.023221	-0.014596
19700424	-0.002019	-0.004807	-0.010154	-0.003251
19700427	-0.024272	-0.018022	-0.027247	-0.015827
19700428	-0.037313	-0.014461	-0.019120	-0.014608
19700429	0.034453	0.020805	0.021486	0.019185
19700430	-0.007494	-0.003427	0.000726	-0.003545
19700501	-0.000168	-0.001107	-0.001424	-0.000981
19700504	-0.046335	-0.025519	-0.026085	-0.025417
19700505	0.000000	-0.010950	-0.016230	-0.009701
19700506	0.015901	0.012167	0.017478	0.011069
19700507	0.007826	0.006315	0.008464	0.004530
19700508	0.002588	-0.005080	-0.004119	-0.004885
19700511	-0.017212	-0.010749	-0.010971	-0.010574
19700512	-0.010508	-0.008986	-0.009895	-0.009542
19700513	-0.026549	-0.017407	-0.019866	-0.016956
19700514	-0.023636	-0.015238	-0.023393	-0.014243
19700515	0.008380	0.018803	0.016043	0.019353
19700518	-0.002770	0.001300	0.003705	0.000780
19700519	-0.042593	-0.019802	-0.018569	-0.019491
19700520	-0.030948	-0.026236	-0.030742	-0.025709
19700521	-0.019960	-0.020073	-0.029558	-0.018498
19700522	0.010183	-0.000755	-0.006294	0.001247
19700525	-0.028226	-0.032155	-0.046682	-0.027682
19700526	0.004149	-0.013323	-0.018713	-0.013665
19700527	0.070248	0.052971	0.069507	0.050224
19700528	0.030888	0.026665	0.041141	0.025285
19700529	0.041199	0.027087	0.030902	0.026002
19700601	0.032374	0.019024	0.027639	0.016852
19700602	-0.013937	0.001177	0.007355	0.000000
19700603	0.000000	0.011290	0.022258	0.008736
19700604	-0.041519	-0.014946	-0.014612	-0.014773
19700605	-0.004608	-0.016787	-0.022576	-0.015383
19700608	-0.013889	0.001480	0.001613	0.001575
19700609	0.007512	0.000311	-0.000624	-0.000524
19700610	-0.010252	-0.009940	-0.009283	-0.010098
19700611	-0.023540	-0.014009	-0.015629	-0.013646
19700612	-0.000964	-0.003877	-0.007612	-0.003224
19700615	0.000000	0.002989	0.002708	0.002291
19700616	0.046332	0.022879	0.018560	0.023797
19700617	-0.019373	-0.002092	-0.002651	-0.001970
19700618	0.023518	0.006074	0.000994	0.006711
19700619	-0.006434	0.006925	0.005893	0.007058
19700622	-0.006475	-0.006442	-0.009621	-0.005321
19700623	-0.042365	-0.024444	-0.022966	-0.024530
19700624	-0.008264	-0.011363	-0.018204	-0.010567
19700625	0.011765	-0.000475	-0.004964	0.000676
19700626	-0.001938	-0.007703	-0.009995	-0.007430
19700629	0.000000	-0.008364	-0.010476	-0.007894
19700630	-0.029126	-0.002823	-0.007143	-0.002332
19700701	0.016000	0.003226	-0.001281	0.004400
19700702	-0.012795	-0.002009	-0.005019	-0.001643
19700706	-0.024925	-0.015521	-0.017648	-0.015634
19700707	-0.008180	-0.008552	-0.012070	-0.007662
19700708	0.041237	0.023685	0.014826	0.024849
19700709	0.006931	0.016037	0.017440	0.014521
19700710	-0.015733	0.006852	0.007121	0.006886
19700713	-0.009990	-0.000385	0.002953	-0.001207
19700714	0.014127	-0.001250	-0.003899	-0.000806
19700715	0.002985	0.010221	0.006771	0.010884
19700716	0.007937	0.013513	0.011127	0.014755
19700717	0.021654	0.016899	0.016871	0.017684
19700720	-0.005780	0.001632	0.005690	0.000386
19700721	-0.000969	-0.009735	-0.008975	-0.009521
