date           rtn
19721215       0.078431
19721218      -0.054545
19721219       0.000000
19721220       0.000000
19721221      -0.028846
19721222       0.009901
19721226      -0.009804
19721227      -0.009901
19721229      -0.005000
19730102       0.030151
19730103      -0.009756
19730104      -0.009852
19730105       0.000000
19730108       0.009950
19730109       0.029557
19730110      -0.019139
19730111       0.000000
19730112       0.000000
19730115       0.009756
19730116      -0.009662
19730117       0.029268
19730118       0.000000
19730119       0.000000
19730122      -0.037915
19730123      -0.019704
19730124       0.010050
19730126       0.009950
19730129       0.000000
19730130       0.000000
19730131      -0.009852
19730201       0.000000
19730202      -0.049751
19730205      -0.020942
19730206      -0.032086
19730207      -0.011050
19730208       0.000000
19730209       0.000000
19730212       0.033520
19730213       0.043243
19730214      -0.010363
19730215       0.010471
19730216      -0.010363
19730220       0.000000
19730221       0.000000
19730222      -0.020942
19730223       0.000000
19730226      -0.053476
19730227      -0.011299
19730228      -0.011429
19730301      -0.023121
19730302       0.011834
19730305       0.000000
19730306       0.023392
19730307       0.068571
19730308      -0.010695
19730309       0.000000
19730312       0.010811
19730313       0.000000
19730314       0.000000
19730315       0.000000
19730316       0.021390
19730319      -0.010471
19730320      -0.031746
19730321      -0.098361
19730322       0.024242
19730323       0.035503
19730326       0.034286
19730327       0.011050
19730328      -0.010929
19730329       0.022099
19730330       0.000000
19730402      -0.032432
19730403       0.011173
19730404      -0.011050
19730405      -0.011173
19730406       0.000000
19730409       0.000000
19730410       0.127119
19730411      -0.015038
19730412       0.000000
19730413       0.083969
19730416      -0.014085
19730417      -0.007143
19730418       0.007194
19730419       0.007143
19730423       0.063830
19730424      -0.066667
19730425      -0.114286
19730426       0.064516
19730427      -0.045455
19730430       0.063492
19730501       0.000000
19730502       0.037313
19730503       0.000000
19730504       0.043165
19730507       0.006897
19730508       0.006849
19730509      -0.013605
19730510      -0.006897
19730511       0.027778
19730514       0.000000
19730515       0.006757
19730516      -0.006711
19730517      -0.013514
19730518       0.000000
19730521      -0.041096
19730522      -0.028571
19730523       0.000000
19730524       0.000000
19730525      -0.044118
19730529       0.007692
19730530      -0.022901
19730531      -0.062500
19730601      -0.008333
19730604      -0.042017
19730605       0.000000
19730606       0.096491
19730607       0.064000
19730608       0.007519
19730611       0.000000
19730612       0.089552
19730613      -0.034247
19730614      -0.007092
19730615       0.000000
19730618      -0.021429
19730619      -0.029197
19730620      -0.030075
19730621      -0.023256
19730622       0.031746
19730625      -0.023077
19730626       0.023622
19730627       0.000000
19730628       0.046154
19730629       0.000000
19730702       0.014706
19730703       0.014493
19730705       0.050000
19730706       0.020408
19730709       0.053333
19730710       0.031646
19730711       0.018405
19730712       0.030120
19730713       0.000000
19730716       0.000000
19730717       0.000000
19730718       0.040936
19730719       0.044944
19730720       0.134409
19730723       0.009479
19730724       0.000000
19730725       0.028169
19730726       0.009132
19730727      -0.045249
19730730       0.018957
19730731       0.027907
19730801      -0.027149
19730802      -0.009302
19730803       0.018779
19730806       0.073733
19730807       0.034335
19730808       0.024896
19730809      -0.056680
19730810      -0.017167
19730813       0.000000
19730814      -0.052402
19730815       0.018433
19730816      -0.009050
19730817       0.009132
19730820      -0.027149
19730821      -0.018605
19730822       0.018957
19730823       0.093023
19730824      -0.008511
19730827       0.017167
19730828      -0.008439
19730829      -0.017021
19730830       0.017316
19730831       0.051064
19730904       0.048583
