date            rtn
19460228      -0.077922
19460330       0.018592
19460430      -0.100000
19460531       0.209877
19460628       0.005128
19460731       0.076531
19460830      -0.045498
19460930      -0.027500
19461031      -0.015424
19461130       0.067363
19461231       0.185714
19470131      -0.032359
19470228      -0.079180
19470331      -0.009434
19470430       0.038095
19470529       0.033945
19470630       0.071429
19470731       0.008333
19470829      -0.035537
19470930       0.137931
19471031      -0.015152
19471129      -0.023077
19471231       0.111111
19480131      -0.121429
19480228      -0.065041
19480331       0.078947
19480430       0.097561
19480528       0.051852
19480630       0.006206
19480730      -0.034361
19480831      -0.014599
19480930      -0.089552
19481030       0.133197
19481130      -0.130561
19481231       0.132353
19490131       0.035250
19490228       0.039068
19490331       0.038261
19490430      -0.028476
19490531       0.004828
19490630      -0.017301
19490729       0.028169
19490831       0.143151
19490930       0.015106
19491031       0.047619
19491130       0.006534
19491231       0.137980
19500131      -0.002500
19500228      -0.018045
19500331       0.028278
19500429       0.140000
19500531       0.107018
19500630      -0.151394
19500731      -0.079812
19500831       0.100000
19500929       0.056075
19501031       0.103982
19501130       0.210421
19501230       0.036667
19510131       0.080386
19510228      -0.098214
19510331       0.036545
19510430       0.182692
19510531      -0.018970
19510629      -0.016667
19510731       0.056497
19510831      -0.053476
19510928      -0.076705
19511031       0.095385
19511130       0.002809
19511231       0.087324
19520131      -0.067358
19520229      -0.072222
19520331      -0.021084
19520430      -0.012308
19520529       0.056075
19520630       0.002967
19520731       0.011834
19520829      -0.029240
19520930       0.000000
19521031       0.015152
19521128       0.053731
19521231       0.091168
19530130      -0.049608
19530227      -0.013736
19530331      -0.025210
19530430       0.017241
19530529       0.050847
19530630       0.024324
19530731       0.029024
19530831      -0.094872
19530930       0.068376
19531030       0.066667
19531130       0.175000
19531231      -0.008547
19540129      -0.043103
19540226       0.025676
19540331       0.094923
19540430       0.078629
19540528       0.051215
19540630      -0.035714
19540730       0.011111
19540831      -0.035165
19540930       0.095420
19541029      -0.031359
19541130       0.080576
19541231       0.150502
19550131      -0.020349
19550228       0.075964
19550331       0.030471
19550429      -0.032258
19550531       0.087778
19550630       0.151282
19550729      -0.040089
19550831      -0.058933
19550930       0.024752
19551031      -0.036232
19551130       0.077193
19551230       0.046729
19560131      -0.053571
19560229       0.142217
19560329       0.152332
19560430       0.025180
19560531      -0.042105
19560629       0.088235
19560731      -0.003378
19560831      -0.055932
19560928      -0.088288
19561031       0.019763
19561130       0.003876
19561231       0.040698
19570131      -0.076350
19570228      -0.019355
19570329       0.070248
19570430       0.104247
19570531       0.095105
19570628       0.149038
19570731      -0.001395
19570830      -0.062291
19570930      -0.022422
19571031      -0.055046
19571129       0.097735
19571231      -0.081361
19580131       0.004831
19580228      -0.029808
19580331       0.025539
19580430      -0.021104
19580529       0.065340
19580630       0.001563
19580731       0.135725
19580829       0.032967
19580930      -0.013298
19581031       0.065229
19581128       0.053299
19581231       0.100000
19590130       0.040526
19590227       0.064000
19590331       0.039683
19590430       0.120229
19590529      -0.047019
19590630       0.068100
19590731      -0.011745
19590831      -0.038031
19590930      -0.007965
19591030       0.043711
19591130       0.151453
19591231       0.047619
19600129      -0.080966
19600229       0.153168
19600331      -0.047683
19600429       0.088858
19600531       0.098187
19600630       0.109929
19600729      -0.054313
19600831      -0.018243
19600930      -0.096552
19601031      -0.022901
19601130       0.070703
19601230       0.080439
19610131       0.013536
19610228       0.105509
19610330       0.004539
19610428       0.016566
19610531      -0.030815
19610630      -0.012251
19610731      -0.052713
19610831       0.003928
19610929      -0.039216
19611031      -0.011905
19611130       0.007573
19611229      -0.080479
19620131      -0.016760
19620228       0.014394
19620330       0.046816
19620430      -0.091234
19620531      -0.130709
19620629      -0.147727
19620731       0.085333
19620831       0.065356
19620928      -0.101852
19621031      -0.025773
19621130       0.157672
19621231      -0.027523
19630131       0.134434
19630228      -0.031601
19630329       0.006466
19630430       0.051392
19630531      -0.030957
19630628      -0.035865
19630731       0.039387
19630830       0.064842
19630930      -0.031746
19631031       0.088115
19631129      -0.009793
19631231      -0.013359
19640131       0.067698
19640228      -0.021739
19640331      -0.039033
19640430      -0.036750
19640528      -0.040161
19640630      -0.012605
19640731       0.021277
19640831      -0.037500
19640930      -0.015217
19641030       0.059603
19641130      -0.037500
19641231      -0.036957
19650129       0.151242
19650226      -0.034902
19650331       0.000000
19650430       0.000000
19650528      -0.017959
19650630      -0.037578
19650730      -0.052061
19650831       0.009611
19650930       0.082005
19651029       0.056842
19651130       0.066135
19651231       0.020638
19660131       0.014706
19660228      -0.021014
19660331      -0.018587
19660429       0.132576
19660531       0.004013
19660630      -0.011706
19660729       0.096447
19660831      -0.070370
19660930       0.030000
19661031      -0.017799
19661130       0.058320
19661230      -0.025000
19670131       0.089744
19670228       0.027353
19670331       0.060345
19670428      -0.056911
19670531      -0.020690
19670630      -0.048601
19670731       0.052632
19670831      -0.019706
19670929       0.078313
19671031      -0.001397
19671130       0.023217
19671229       0.037037
19680131      -0.068783
19680229      -0.052699
19680329       0.042169
19680430       0.170520
19680531       0.106049
19680628      -0.043673
19680730      -0.065574
19680830       0.062531
19680930      -0.022485
19681031       0.049637
19681129       0.052941
19681231      -0.080220
19690131      -0.052569
19690228      -0.035057
19690328       0.080052
19690430       0.013366
19690529       0.032614
19690630      -0.058275
19690731       0.009901
19690829       0.062745
19690930       0.003472
19691031       0.051903
19691128      -0.004167
19691231      -0.030939
19700130      -0.084379
19700227       0.090286
19700331      -0.041284
19700430      -0.102871
19700529      -0.094000
19700630      -0.106509
19700731       0.069536
19700831       0.093653
19700930       0.005690
19701030       0.001414
19701130       0.020480
19701231       0.101530
19710129       0.000000
19710226       0.052652
19710331       0.086747
19710430       0.015521
19710528      -0.000328
19710630       0.067982
19710730      -0.053388
19710831       0.039805
19710930       0.025131
19711029      -0.019408
19711130       0.020521
19711231       0.106557
19720131      -0.005556
19720229       0.052000
19720330       0.047069
19720428      -0.043257
19720531       0.091177
19720630      -0.005705
19720731       0.081967
19720831      -0.028903
19720929       0.000000
19721031       0.039124
19721130       0.025488
19721229       0.008837
19730131      -0.016058
