date           rtn
19861128      -0.069944
19861231      -0.012048
19870130       0.176829
19870227       0.080207
19870331      -0.038462
19870430       0.010000
19870529      -0.052079
19870630       0.089005
19870731       0.105769
19870831       0.104348
19870930       0.005827
19871030      -0.258824
19871130      -0.132275
19871231       0.094390
19880129       0.195531
19880229       0.039626
19880331      -0.067568
19880429      -0.072464
19880531       0.055000
19880630       0.089109
19880729      -0.027273
19880831      -0.128224
19880930       0.005376
19881031       0.013690
19881130      -0.042328
19881230      -0.038674
19890131       0.083678
19890228      -0.063830
19890331      -0.017045
19890428      -0.034682
19890531       0.081198
19890630      -0.011111
19890731       0.213483
19890831       0.011852
19890929       0.022936
19891031       0.034260
19891130       0.013043
19891229      -0.021459
19900131      -0.080526
19900228       0.028708
19900330       0.023256
19900430       0.045455
19900531       0.137565
19900629       0.045977
19900731      -0.052015
19900831      -0.135659
19900928      -0.264574
19901031      -0.110976
19901130       0.248276
19901231       0.011050
19910131       0.157377
19910228       0.165877
19910328      -0.008130
19910430      -0.033607
19910531       0.076596
19910628      -0.122530
19910731       0.144144
19910830       0.063241
19910930       0.055762
19911031       0.028169
19911129      -0.103093
19911231       0.206897
19920131       0.057143
19920228       0.000000
19920331      -0.030120
19920430       0.014286
19920529      -0.055385
19920630       0.000000
19920731       0.151792
19920831      -0.096591
19920930       0.100629
19921030      -0.022857
19921130       0.121637
19921231       0.013089
19930129       0.098191
19930226       0.037459
19930331       0.260820
19930430      -0.002710
19930528       0.011630
19930630       0.134771
19930730       0.026128
19930831       0.098765
19930930       0.076056
19931029      -0.075916
19931130      -0.090652
19931231      -0.028125
19940131       0.083601
19940228      -0.115727
19940331      -0.050505
19940429      -0.014184
19940531      -0.049640
19940630      -0.019011
19940729       0.027132
19940831       0.121509
19940930      -0.111486
19941031       0.057034
19941130      -0.053237
19941230      -0.011450
19950131       0.145174
19950228       0.054237
19950331      -0.006431
19950428       0.071197
19950531       0.022961
19950630       0.038576
19950731       0.082857
19950831       0.017414
19950929       0.106771
19951031      -0.045963
19951130       0.182178
19951229       0.052521
19960131       0.049900
19960229       0.020532
19960329      -0.013084
19960430      -0.068182
19960531       0.015854
19960628       0.099398
19960731      -0.073973
19960830       0.030178
19960930       0.132565
19961031       0.107379
19961129       0.105988
19961231       0.008333
19970131       0.157576
19970228       0.023866
19970331      -0.104895
19970430       0.156250
19970530      -0.006306
19970630       0.146591
19970731       0.143112
19970829      -0.117289
19970930       0.075787
19971031       0.026898
19971128       0.090179
19971231       0.058968
19980130      -0.080046
19980227       0.124842
19980331       0.078652
19980430       0.021875
19980529       0.001021
19980630      -0.010204
19980731       0.111340
19980831      -0.340149
19980930      -0.154930
19981030       0.258133
19981130       0.069149
19981231      -0.011194
19990129       0.131925
19990226       0.047938
19990331       0.087234
19990430       0.175499
19990528      -0.115192
19990630       0.075472
19990730      -0.058895
19990831      -0.002805
19990930      -0.009845
19991029       0.236136
19991130      -0.006912
19991231       0.033643
20000131       0.023569
20000229      -0.088202
20000331       0.155609
20000428      -0.002547
20000531       0.044071
20000630      -0.031156
20000731       0.171162
20000831       0.105688
20000929      -0.073876
20001031      -0.026590
20001130      -0.050784
20001229       0.025094
20010131       0.096108
20010228      -0.118814
20010330      -0.085401
20010430       0.092708
20010531       0.045575
20010629       0.031024
20010731      -0.049773
20010831      -0.084644
20010928      -0.115721
20011031       0.123951
20011130       0.055800
20011231       0.053862
20020131      -0.057845
20020228      -0.045359
20020328       0.094365
20020430      -0.125606
20020531       0.001386
20020628      -0.102594
20020731      -0.134452
20020830       0.046462
20020930      -0.094656
20021031       0.252277
20021129       0.052233
20021231      -0.094907
20030131      -0.017334
20030228      -0.030250
20030331       0.033293
20030430       0.139332
20030530       0.050191
20030630       0.043393
20030731       0.054907
20030829      -0.032366
20030930       0.049827
20031031       0.049220
20031128      -0.007806
20031231       0.032107
20040130       0.027606
20040227       0.015764
20040331       0.028651
20040430      -0.062089
20040528      -0.034519
20040630       0.001508
20040730      -0.043226
20040831       0.056475
20040930      -0.052812
20041029       0.014733
20041130       0.008564
20041231       0.076648
20050131       0.018057
20050228      -0.018145
20050331      -0.058257
20050429       0.054740
20050531       0.003194
20050630      -0.018680
20050729      -0.049535
20050831       0.006207
20050930       0.039982
20051031       0.005712
20051130       0.070118
20051230      -0.000412
20060131      -0.040181
20060228       0.006011
20060331       0.018546
20060428       0.067965
20060531      -0.013013
20060630      -0.021298
20060731       0.001244
20060831       0.031670
20060929       0.006484
20061031       0.009865
20061130      -0.001595
20061229       0.123210
20070131      -0.010233
20070228      -0.076546
20070330       0.019258
20070430       0.044410
20070531       0.026296
20070629      -0.058726
20070731      -0.092026
20070831       0.018252
20070928      -0.004480
20071031      -0.102207
20071130      -0.192363
20071231      -0.115916
20080131      -0.032269
20080229      -0.158324
20080331      -0.096584
20080430       0.179739
20080530      -0.121092
20080630      -0.234354
20080731       0.134248
20080829       0.016051
20080930       0.080042
20081031      -0.326670
20081128      -0.392674
20081231      -0.190591
