   qdate        le_12        le_24        le_36        le_48        le_60       le_120 
19520131      0.00214      0.00341      0.00501      0.00555      0.00706      0.00377   
19520229      0.00142      0.00158      0.00174      0.00211      0.00216     -0.00202   
19520331      0.00218      0.00330      0.00380      0.00420      0.00605      0.00726   
19520430      0.00137      0.00153      0.00249      0.00314      0.00598      0.00566   
19520529      0.00103      0.00125      0.00061      0.00023      0.00089      0.00173   
19520630      0.00087      0.00010     -0.00021     -0.00118     -0.00247     -0.00366   
19520731      0.00138      0.00062      0.00005     -0.00103     -0.00220     -0.00315   
19520829      0.00129      0.00058      0.00022     -0.00033      0.00010     -0.00172   
19520930      0.00203      0.00195      0.00141      0.00170     -0.00010      0.00029   
19521031      0.00199      0.00261      0.00278      0.00128      0.00003      0.00701   
19521128      0.00077      0.00005      0.00006      0.00107      0.00231      0.00154   
19521231      0.00206      0.00214      0.00119      0.00218      0.00236      0.00187   
19530130      0.00216      0.00316      0.00278      0.00173      0.00143     -0.00008   
19530227      0.00103      0.00055      0.00055     -0.00010     -0.00074      0.00010   
19530331      0.00154      0.00161      0.00145     -0.00374     -0.00316     -0.00131   
19530430      0.00039     -0.00200     -0.00070      0.00285     -0.00658     -0.00908   
19530529      0.00121     -0.00001     -0.00335     -0.00456     -0.00914     -0.01218   
19530630      0.00386      0.00629      0.00568      0.00717      0.01508      0.01467   
19530731      0.00245      0.00352      0.00457      0.00258      0.00468      0.00653   
19530831      0.00252      0.00309      0.00287      0.00130     -0.00076     -0.00076   
19530930      0.00402      0.00444      0.00523      0.00574      0.01600      0.01840   
19531030      0.00374      0.00480      0.00848      0.00795      0.00619      0.00760   
19531130      0.00137      0.00234      0.00183      0.00443      0.00139     -0.00142   
19531231      0.00236      0.00247      0.00255      0.00552      0.00898      0.01649   
19540129      0.00389      0.00559      0.01031      0.01156      0.01025      0.00263   
19540226      0.00067      0.00290      0.00457      0.00555      0.00824      0.01013   
19540331      0.00138      0.00097      0.00166      0.00215      0.00428      0.00739   
19540430      0.00286      0.00287      0.00299      0.00354      0.00495      0.01160   
19540528     -0.00022      0.00023      0.00045     -0.00235     -0.00702     -0.01405   
19540630      0.00120      0.00341      0.00469      0.00637      0.00793      0.01260   
19540730      0.00152      0.00147      0.00145      0.00166      0.00122      0.00056   
19540831     -0.00079      0.00017      0.00096     -0.00008      0.00007     -0.00080   
19540930      0.00048     -0.00053     -0.00259     -0.00225     -0.00156     -0.00016   
19541029      0.00049     -0.00075     -0.00041     -0.00069     -0.00115     -0.00134   
19541130      0.00005      0.00093      0.00195      0.00171     -0.00037     -0.00113   
19541231      0.00074     -0.00059      0.00089     -0.00116     -0.00121     -0.00038   
19550131     -0.00024     -0.00059     -0.00258     -0.00185     -0.00179     -0.00377   
19550228      0.00004     -0.00320     -0.00429     -0.00577     -0.00819     -0.00554   
19550331      0.00166      0.00246      0.00150      0.00150      0.00260      0.00271   
19550429      0.00048     -0.00064      0.00017     -0.00005     -0.00071     -0.00022   
19550531      0.00170      0.00296      0.00256      0.00230      0.00136      0.00231   
19550630      0.00106      0.00012     -0.00026     -0.00109     -0.00358     -0.00479   
19550729      0.00027     -0.00087     -0.00119     -0.00311     -0.00137     -0.00772   
19550831      0.00084     -0.00051     -0.00181     -0.00197     -0.00282      0.00145   
19550930      0.00158      0.00459      0.00475      0.00699      0.00520      0.00842   
19551031      0.00206      0.00301      0.00415      0.00379      0.00817      0.00765   
19551130      0.00040     -0.00143     -0.00326     -0.00328     -0.00365     -0.00535   
19551230      0.00116      0.00060      0.00069      0.00088     -0.00038      0.00025   
19560131      0.00361      0.00638      0.00719      0.00617      0.00718      0.01095   
19560229      0.00158      0.00063      0.00119      0.00231     -0.00043      0.00102   
19560329      0.00174     -0.00124     -0.00408     -0.00328     -0.00529     -0.01299   
19560430      0.00032     -0.00325     -0.00405     -0.00545     -0.00423      0.00039   
19560531      0.00350      0.00785      0.00878      0.00561      0.00811      0.01184   
19560629      0.00287      0.00385      0.00405      0.00353      0.00608      0.00081   
19560731      0.00136     -0.00131     -0.00365     -0.00287     -0.00933     -0.01146   
19560831      0.00096     -0.00106     -0.00336     -0.00782     -0.01039     -0.00865   
19560928      0.00190      0.00166      0.00178      0.00022      0.00448      0.00626   
19561031      0.00326      0.00406      0.00485      0.00677      0.00365     -0.00255   
19561130      0.00110     -0.00207     -0.00460     -0.00493     -0.00518     -0.00378   
19561231      0.00193      0.00333      0.00402      0.00358      0.00464     -0.00108   
19570131      0.00416      0.00854      0.01012      0.01338      0.01491      0.02374   
19570228      0.00131      0.00060     -0.00104     -0.00059     -0.00245     -0.00125   
19570329      0.00307      0.00390      0.00546      0.00293      0.00241      0.00177   
19570430      0.00198      0.00139      0.00071     -0.00081     -0.00271     -0.01012   
