date            ibmrtn           vwrtn         ewrtn         sprtn
19260130      -0.010381      0.000724      0.023174      0.022472
19260227      -0.024476     -0.033374     -0.053510     -0.043956
19260331      -0.115591     -0.064341     -0.096824     -0.059113
19260430       0.089783      0.038358      0.032946      0.022688
19260528       0.036932      0.012172      0.001035      0.007679
19260630       0.068493      0.056888      0.050487      0.043184
19260731       0.000000      0.028365      0.013076      0.045455
19260831       0.000000      0.028065      0.031002      0.017081
19260930       0.065104      0.005890     -0.006499      0.022901
19261030       0.032258     -0.031066     -0.034630     -0.031343
19261130       0.031250      0.027547      0.024776      0.022342
19261231       0.030303      0.030466      0.025516      0.016579
19270131       0.023041      0.001449      0.012556     -0.020756
19270228       0.081081      0.045821      0.055756      0.047691
19270331       0.183333      0.006245     -0.019290      0.006503
19270430       0.078571      0.006638      0.007494      0.017229
19270531       0.149007      0.056948      0.062691      0.052223
19270630      -0.048991     -0.020372     -0.019708     -0.009390
19270730       0.0           0.075659      0.058080      0.064997
19270831       0.119632      0.027050      0.004247      0.044501
19270930       0.019178      0.049025      0.032308      0.043214
19271031      -0.008152     -0.041894     -0.038529     -0.053092
19271130       0.090411      0.068685      0.097758      0.067776
19271231       0.218593      0.023658      0.029677      0.019042
19280131       0.041667     -0.003541      0.032441     -0.005096
19280229       0.028000     -0.014416     -0.022508     -0.017644
19280331       0.004864      0.090905      0.071583      0.108343
19280430      -0.006843      0.043168      0.087466      0.032410
19280531      -0.015748      0.018386      0.037591      0.012658
19280630      -0.004000     -0.045334     -0.069074     -0.040500
19280731      -0.010142      0.010074      0.003047      0.012507
19280831       0.071721      0.069607      0.058396      0.074112
19280929       0.078394      0.031445      0.049244      0.023958
19281031       0.035778      0.018801      0.017469      0.014506
19281130       0.105354      0.121287      0.115203      0.119926
19281231       0.031953      0.005262     -0.005552      0.002883
19290131      -0.020032      0.052099      0.033526      0.057084
19290228       0.053148     -0.000190      0.006487     -0.005828
19290328       0.001553     -0.007971     -0.032105     -0.002345
19290430       0.124219      0.016786      0.014024      0.016060
19290531      -0.011814     -0.059109     -0.091046     -0.042791
19290629       0.188467      0.099650      0.073428      0.112364
19290731       0.109524      0.045348      0.018561      0.045619
19290830       0.034335      0.085580      0.028368      0.097992
19290930      -0.048237     -0.050009     -0.043730     -0.048880
19291031      -0.189041     -0.195499     -0.212145     -0.199271
19291127      -0.222973     -0.123267     -0.122533     -0.133747
19291231       0.194261      0.017974     -0.025598      0.025335
19300131       0.010802      0.056640      0.109826      0.062471
19300228       0.067939      0.027701      0.033599      0.021501
19300331       0.049321      0.075027      0.103754      0.079897
19300430      -0.004121     -0.020885     -0.041600     -0.009547
19300529       0.075862     -0.013252     -0.037227     -0.016466
19300630      -0.105128     -0.157873     -0.188159     -0.164557
19300731       0.000000      0.039659      0.037631      0.036657
19300829       0.040462      0.004120     -0.017319      0.007544
19300930      -0.112500     -0.124009     -0.150475     -0.130089
19301031      -0.097946     -0.086989     -0.096057     -0.088757
19301129       0.022767     -0.025990     -0.024128     -0.021842
19301231       0.089555     -0.078419     -0.136846     -0.074231
