date            rtn
19730131       0.010050
19730228      -0.139303
19730330       0.069364
19730430       0.086486
19730531      -0.104478
19730629       0.133333
19730731       0.625000
19730831       0.117647
19730928       0.234818
19731031       0.144262
19731130      -0.240688
19731231       0.188679
19740131       0.139683
19740228       0.155989
19740329      -0.163855
19740430       0.162824
19740531       0.148699
19740628      -0.148867
19740731      -0.448669
19740830      -0.151724
19740930      -0.390244
19741031       0.613333
19741129      -0.115702
19741231      -0.140187
19750131       0.336957
19750228       0.463415
19750331       0.183333
19750430       0.244131
19750530       0.045283
19750630       0.018051
19750731      -0.120567
19750829       0.112903
19750930       0.083333
19751031      -0.026756
19751128       0.020619
19751231      -0.013468
19760130       0.170648
19760227       0.093294
19760331       0.170667
19760430      -0.033030
19760528      -0.014134
19760630      -0.021505
19760730      -0.036630
19760831      -0.068441
19760930      -0.008163
19761029      -0.098765
19761130       0.036530
19761231       0.052863
19770131      -0.100418
19770228       0.009302
19770331      -0.129032
19770429      -0.105820
19770531       0.023669
19770630       0.150289
19770729       0.000000
19770831      -0.050251
19770930       0.042328
19771031      -0.111675
19771130       0.057143
19771230      -0.010811
19780131      -0.010929
19780228      -0.121547
19780331       0.062893
19780428       0.236686
19780531       0.066986
19780630       0.071749
19780731       0.124477
19780831       0.046512
19780929      -0.026667
19781031      -0.136986
19781130       0.052910
19781229       0.010050
19790131       0.089552
19790228       0.045662
19790330       0.131004
19790430       0.025097
19790531       0.050847
19790629       0.112903
19790731      -0.028986
19790831       0.139303
19790928       0.091703
19791031      -0.004000
19791130       0.108434
19791231      -0.014493
19800131       0.007353
19800229       0.051095
19800331      -0.135417
19800430      -0.008032
19800530       0.109312
19800630      -0.032847
19800731       0.283019
19800829       0.030882
19800930       0.018545
19801031      -0.056022
19801128       0.109792
19801231      -0.133690
19810130      -0.077160
19810227      -0.060201
19810331       0.035587
19810430       0.041237
19810529       0.085809
19810630      -0.121581
19810731      -0.062284
19810831      -0.169742
19810930      -0.133333
19811030       0.174359
19811130      -0.122271
19811231      -0.099502
19820129       0.154696
19820226      -0.019139
19820331       0.126829
19820430       0.095238
19820528      -0.035573
19820630       0.028689
19820730       0.031873
19820831       0.138996
19820930      -0.108475
19821029       0.129278
19821130       0.030303
19821231       0.013072
19830131       0.109677
19830228       0.081395
19830331       0.037634
19830429       0.025907
19830531       0.156566
19830630       0.301310
19830729       0.080537
19830831       0.018634
19830930       0.006098
19831031      -0.084848
19831130       0.105960
19831230       0.005988
19840131      -0.125000
19840229       0.013605
19840330      -0.033557
19840430      -0.027778
19840531      -0.117857
19840629      -0.020243
19840731       0.008264
19840831       0.180328
19840928      -0.138889
19841031      -0.104839
19841130       0.027027
19841231      -0.017544
19850131       0.098214
19850228      -0.089431
19850329      -0.008929
19850430      -0.009009
19850531      -0.040909
19850628      -0.014218
19850731       0.086538
19850830      -0.079646
19850930      -0.009615
19851031      -0.009709
19851129       0.117647
19851231       0.026316
19860131      -0.034188
19860228      -0.017699
19860331      -0.063063
19860430       0.096154
19860530      -0.043860
19860630      -0.155963
19860731      -0.206522
19860829       0.260274
19860930      -0.152174
19861031       0.038462
19861128       0.135802
19861231      -0.086957
19870130       0.488095
19870227       0.216000
19870331       0.032895
19870430       0.197452
19870529      -0.066489
19870630       0.002849
19870731       0.085227
19870831       0.104712
19870930       0.094787
19871030      -0.324675
19871130      -0.173077
19871231       0.232558
19880129      -0.037736
19880229       0.107843
19880331       0.039823
19880429       0.055319
19880531      -0.008065
19880630       0.174797
19880729      -0.038062
19880831      -0.194245
19880930      -0.017857
19881031      -0.100000
19881130      -0.181818
19881230       0.172840
19890131       0.094737
19890228      -0.009615
19890331       0.019417
19890428       0.104762
19890531       0.120690
19890630      -0.107692
19890731       0.051724
19890831      -0.016393
19890929       0.075000
19891031       0.046512
19891130       0.029630
19891229      -0.007194
19900131       0.144928
19900228       0.018987
19900330       0.037267
19900430      -0.053892
19900531       0.221519
19900629      -0.025907
19900731      -0.053191
19900831      -0.250000
19900928      -0.003745
19901031       0.007519
19901130       0.119403
19901231       0.026667
19910131       0.188312
19910228       0.043716
19910328      -0.020942
19910430       0.053476
19910531       0.131980
19910628      -0.165919
19910731       0.010753
19910830       0.053191
19910930      -0.146465
19911031      -0.038462
19911129       0.009231
19911231       0.195122
19920131       0.221939
19920228       0.060543
19920331      -0.129921
19920430      -0.031674
19920529      -0.065421
19920630       0.140000
19920731       0.048246
19920831      -0.029289
19920930       0.133621
19921030       0.028137
19921130       0.059259
19921231       0.216783
19930129       0.228161
19930226       0.091335
19930331      -0.012876
19930430      -0.171957
19930528       0.165572
19930630      -0.007892
19930730      -0.049091
19930831       0.229665
19930930       0.101167
19931029      -0.105300
19931130      -0.027668
19931231       0.008130
19940131       0.053226
19940228       0.053640
19940331      -0.018182
19940429      -0.095556
19940531       0.024590
19940630      -0.064000
19940729       0.013932
19940831       0.109705
19940930      -0.064639
19941031       0.011138
19941130       0.016097
19941230       0.011881
19950131       0.087045
19950228       0.149550
19950331       0.064263
19950428       0.206892
19950531       0.096459
19950630       0.128062
19950731       0.027285
19950831      -0.055769
19950929      -0.018330
19951031       0.160415
19951130      -0.128801
19951229      -0.067762
19960131      -0.026002
19960229       0.064781
19960329      -0.032944
19960430       0.191912
19960531       0.114391
19960628      -0.027318
19960731       0.023660
19960830       0.062396
19960930       0.195771
19961031       0.151801
19961129       0.154721
19961231       0.032020
19970131       0.239523
19970228      -0.125578
19970331      -0.019383
19970430       0.100988
19970530      -0.010612
19970630      -0.063944
19970731       0.295267
19970829       0.003404
19970930       0.002035
19971031      -0.165552
19971128       0.008117
19971231      -0.095008
19980130       0.153452
19980227       0.107253
19980331      -0.129617
19980430       0.035612
19980529      -0.116009
19980630       0.037620
19980731       0.139123
19980831      -0.156566
19980930       0.204565
19981030       0.040087
19981130       0.207176
19981231       0.101626
19990129       0.188719
19990226      -0.148718
19990331      -0.008859
19990430       0.029443
19990528      -0.115955
19990630       0.100578
19990730       0.159664
19990831       0.191558
19990930      -0.095817
19991029       0.042052
19991130      -0.009298
19991231       0.073350
20000131       0.201974
20000229       0.142438
20000331       0.167589
20000428      -0.038844
20000531      -0.016520
20000630       0.072180
20000731      -0.001403
20000831       0.121948
20000929      -0.444908
20001031       0.082707
20001130      -0.153722
20001229      -0.210181
20010131       0.230769
20010228      -0.227500
20010330      -0.078775
20010430       0.174727
20010531      -0.125526
20010629       0.082932
20010731       0.019145
20010831      -0.061389
20010928      -0.268956
20011031       0.194716
20011130       0.338247
20011231      -0.037048
