date            rtn
19860430       0.172727
19860530       0.077519
19860630      -0.115108
19860731      -0.073171
19860829       0.000000
19860930      -0.008772
19861031       0.371681
19861128       0.283871
19861231      -0.030151
19870130       0.515544
19870227       0.049573
19870331       0.260586
19870430       0.074935
19870529       0.108173
19870630      -0.114967
19870731      -0.078431
19870831       0.263298
19870930       0.115789
19871030      -0.249057
19871130      -0.100503
19871231       0.212290
19880129       0.027650
19880229       0.065022
19880331      -0.048421
19880429      -0.035398
19880531       0.064220
19880630       0.155172
19880729      -0.111940
19880831      -0.159664
19880930       0.045000
19881031      -0.062201
19881130      -0.035714
19881230       0.126984
19890131       0.119718
19890228      -0.002096
19890331      -0.161765
19890428       0.120301
19890531       0.082774
19890630      -0.123967
19890731       0.033019
19890831       0.073059
19890929       0.165957
19891031       0.193431
19891130       0.064220
19891229       0.000000
19900131       0.063218
19900228       0.067568
19900330       0.121519
19900430       0.047404
19900531       0.258621
19900629       0.041096
19900731      -0.125000
19900831      -0.075188
19900928       0.024390
19901031       0.011905
19901130       0.133333
19901231       0.041522
19910131       0.303987
19910228       0.057325
19910328       0.022892
19910430      -0.067138
19910531       0.108586
19910628      -0.068907
19910731       0.078899
19910830       0.159864
19910930       0.043988
19911031       0.054775
19911129       0.035952
19911231       0.143959
19920131       0.080899
19920228       0.027027
19920331      -0.040486
19920430      -0.069620
19920529       0.097506
19920630      -0.132231
19920731       0.039286
19920831       0.024055
19920930       0.080537
19921030       0.102484
19921130       0.049296
19921231      -0.083221
19930129       0.013177
19930226      -0.036127
19930331       0.109445
19930430      -0.075676
19930528       0.083333
19930630      -0.049933
19930730      -0.159091
19930831       0.015203
19930930       0.098170
19931029      -0.028788
19931130      -0.001560
19931231       0.007813
19940131       0.055814
19940228      -0.030837
19940331       0.027273
19940429       0.091445
19940531       0.162162
19940630      -0.039535
19940729      -0.002421
19940831       0.128641
19940930      -0.034409
19941031       0.122494
19941130      -0.001984
19941230      -0.027833
19950131      -0.028630
19950228       0.061053
19950331       0.128968
19950428       0.149385
19950531       0.035933
19950630       0.067159
19950731       0.001383
19950831       0.022099
19950929      -0.021622
19951031       0.104972
19951130      -0.128750
19951229       0.007174
19960131       0.054131
19960229       0.066892
19960329       0.044965
19960430       0.098182
19960531       0.048565
19960628       0.011579
19960731      -0.018730
19960830       0.039236
19960930       0.076531
19961031       0.040758
19961129       0.142987
19961231       0.053386
19970131       0.234493
19970228      -0.044118
19970331      -0.059615
19970430       0.325153
19970530       0.020576
19970630       0.019153
19970731       0.119683
19970829      -0.065813
19970930       0.000946
19971031      -0.017478
19971128       0.088462
19971231      -0.086572
19980130       0.154255
19980227       0.136154
19980331       0.056047
19980430       0.006983
19980529      -0.058946
19980630       0.277819
19980731       0.014418
19980831      -0.127345
19980930       0.147231
19981030      -0.038047
19981130       0.152302
19981231       0.136783
19990129       0.261830
19990226      -0.142143
19990331       0.194005
19990430      -0.092748
19990528      -0.007686
19990630       0.117738
19990730      -0.048510
19990831       0.078660
19990930      -0.021607
19991029       0.022084
19991130      -0.016374
19991231       0.282306
20000131      -0.161670
20000229      -0.086845
20000331       0.188811
20000428      -0.343529
20000531      -0.103047
20000630       0.278721
20000731      -0.127344
20000831       0.000000
20000929      -0.136079
20001031       0.141969
20001130      -0.166969
20001229      -0.244009
20010131       0.407781
20010228      -0.033777
20010330      -0.073093
20010430       0.238857
20010531       0.021107
20010629       0.055218
20010731      -0.093288
20010831      -0.138087
20010928      -0.103068
20011031       0.136408
20011130       0.104213
20011231       0.031771
20020131      -0.038340
20020228      -0.084288
20020328       0.033768
20020430      -0.133477
20020531      -0.025832
20020628       0.074445
20020731      -0.122852
20020830       0.022926
20020930      -0.108802
20021031       0.222451
20021129       0.078736
20021231      -0.103675
20030131      -0.082012
20030228       0.002107
20030331       0.021519
20030430       0.055762
20030530      -0.037167
20030630       0.041853
20030731       0.030031
20030829       0.004165
20030930       0.048265
20031031      -0.053957
20031128      -0.016450
20031231       0.064566
20040130       0.010230
20040227      -0.040506
20040331      -0.060309
20040430       0.048135
20040528       0.003827
20040630       0.088830
20040730      -0.002451
20040831      -0.038961
20040930       0.012821
20041029       0.011573
20041130       0.068645
20041231      -0.003357
20050131      -0.016467
20050228      -0.039574
20050331      -0.039348
20050429       0.046752
20050531       0.022925
20050630      -0.037209
20050729       0.030998
20050831       0.072237
20050930      -0.060263
20051031      -0.001166
20051130       0.080156
20051230      -0.055275
20060131       0.076482
20060228      -0.042273
20060331       0.012653
20060428      -0.112459
20060531      -0.058385
20060630       0.028698
20060731       0.032618
20060831       0.071904
20060929       0.064202
20061031       0.049726
20061130       0.026123
20061229       0.017030
20070131       0.033490
20070228      -0.083927
20070330      -0.010650
20070430       0.074273
20070531       0.028393
20070629      -0.039756
20070731      -0.016288
20070831      -0.005519
20070928       0.025409
20071031       0.249491
20071130      -0.084216
20071231       0.059524
20080131      -0.084270
20080229      -0.162273
20080331       0.043386
20080430       0.004933
20080530      -0.003156
20080630      -0.028602
20080731      -0.065067
20080829       0.065319
20080930      -0.021986
20081031      -0.163357
20081128      -0.088670
20081231      -0.038576
